feature,correlation
prev_duration,0.6586552941374084
is_large_gate_pattern,0.6318480381276006
large_gate_priority,0.6318480381276006
prev_gate_count,0.6036898651946829
ops_week_total_duration,0.474381609208127
ops_week_count,0.4362494384856056
ops_week_avg_gates,0.424482547103288
water_status_min,-0.38101444491661973
tide_24h_fall_rate,-0.37528092585024286
rain_actual_avg,0.36797616780812403
rain_actual_total,0.36797616780812403
rain_actual_嵊州_sum,0.3595100324679471
rain_actual_虞南山区_sum,0.3571267967955471
tide_24h_cycle_count,-0.3499012406690869
rain_actual_虞北平原_sum,0.34821606134200284
rain_actual_绍兴平原_sum,0.33695208524426945
rain_actual_嵊州_mean,0.3335318302786193
tide_24h_rise_rate,-0.3323919781328864
rain_actual_新昌_sum,0.33186277667610387
rain_actual_虞南山区_mean,0.32433438857653085
flow_mean,0.31159184783446564
rain_actual_虞北平原_mean,0.3057685932579287
flow_var,0.30185777662009317
rain_actual_新昌_mean,0.3012481717343547
flow_max,0.2955424401154547
rain_actual_绍兴平原_mean,0.29116652078383914
future_tide_r_squared,-0.2847554527121815
flow_min,0.27980633103260666
tide_12h_cycle_count,-0.2625561566366678
tide_12h_min,0.2578428539063414
hour_cos,0.25525756070428
tide_type,0.24866841251602284
tide_24h_min,0.24713543364025115
flow_range,0.23654284771945908
tide_12h_rise_rate,-0.23385267822543962
water_status_mean,-0.23381899459309013
water_status_max,-0.23310580412245133
water_status_missing,0.23109428604045398
water_missing,0.2291624690705572
flow_missing,0.22773998104490664
tide_12h_phase,-0.22693802755466103
date,0.2213994780134254
tide_24h_phase,-0.22042932343479044
future_tide_tide_type,-0.2193083656161157
water_status_range,-0.21846021028654927
future_tide_phase,-0.2183155355238585
future_tide_range,-0.21770789951070904
flow_skew,-0.20181423186192207
future_tide_max,-0.18854825393470787
tide_24h_range,-0.18041338105763172
tide_12h_range,-0.1799910884322266
tide_24h_r_squared,-0.17618285792671676
tide_12h_tide_type,-0.17356216187923315
water_rain_ratio,-0.16783779572981952
tide_24h_max,-0.15672468360156638
future_tide_slope,-0.152215441659268
future_tide_mean,-0.15181765839934208
tide_12h_max,-0.14909697457221233
rain_actual_虞南山区_max,0.13706399598956606
prev_op_hour,-0.13499489389639624
rain_actual_新昌_max,0.1331486521630913
rain_actual_虞北平原_max,0.12954091184615288
future_tide_min,0.12767949443562587
rain_actual_嵊州_max,0.11794184123978145
flow_rain_ratio,-0.1174509356416244
tide_24h_tide_type,-0.1168694411880158
tide_12h_r_squared,-0.10840301282868228
rain_change_rate,0.10793915341980903
tide_12h_fall_rate,-0.09989691563516846
rain_actual_绍兴平原_max,0.09149326614089985
hour_of_day,0.08880859251083562
tide_24h_mean,-0.08679203404761754
future_tide_cycle_count,-0.0772996570027497
tide_12h_mean,-0.07328129477274917
tide_12h_slope,-0.06995335296828514
hour_sin,-0.06888790982546894
future_tide_rise_rate,-0.06641559514682652
is_rush_hour,-0.06039006488164288
is_weekend,0.06026646094478754
future_tide_fall_rate,-0.05244672107776802
day_of_year,0.047618020795159484
month,0.04586351169149831
rain_forecast_绍兴平原_sum,-0.032111854294406834
rain_forecast_虞北平原_max,-0.031504552760046586
rain_forecast_虞北平原_mean,-0.03109387358079678
rain_forecast_虞北平原_sum,-0.030671768413079243
rain_forecast_嵊州_max,-0.029109888294493246
day_of_week,0.02820673018591027
rain_forecast_嵊州_mean,-0.02747167695989882
rain_forecast_绍兴平原_mean,-0.02600525340428354
rain_forecast_虞南山区_sum,-0.024688138260600064
rain_forecast_绍兴平原_max,-0.02415579709318095
rain_forecast_嵊州_sum,-0.023344269098328426
rain_forecast_新昌_max,-0.02272226131059445
rain_forecast_total,-0.019005547016938764
rain_forecast_avg,-0.019005547016938764
rain_forecast_虞南山区_mean,-0.017173570132774135
water_status_slope,-0.01409594779041269
rain_forecast_新昌_mean,-0.010997105816913598
rain_forecast_新昌_sum,0.008646396492490112
rain_forecast_虞南山区_max,-0.007495715675797767
tide_24h_slope,-0.007073057868860769
rain_missing,0.0029248461833855325
hour_similar_to_large_gate,-0.0021680525773425203
large_gate_avg_duration,
tide_similar_to_large_gate,
rain_similar_to_large_gate,
future_water_missing,
