feature,r2_score
prev_duration,0.4804235086219899
prev_gate_count,0.46788261690373545
is_large_gate_pattern,0.35235031579812626
large_gate_priority,0.35235031579812626
ops_week_total_duration,0.26418294038334655
ops_week_avg_gates,0.24218126157617093
ops_week_count,0.23559368685304627
rain_actual_avg,0.19018133385167946
rain_actual_total,0.19018133385167924
rain_actual_嵊州_sum,0.17978576537654511
rain_actual_虞北平原_sum,0.1729934609583491
rain_actual_虞南山区_sum,0.17039408310970616
rain_actual_绍兴平原_sum,0.16814327007271945
tide_24h_fall_rate,0.16164917010247815
rain_actual_嵊州_mean,0.16023780483904204
rain_actual_新昌_sum,0.1567234686929888
water_status_min,0.15340446477788572
rain_actual_虞南山区_mean,0.1477112406299913
rain_actual_虞北平原_mean,0.1415575846925492
rain_actual_新昌_mean,0.13576262516767046
rain_actual_绍兴平原_mean,0.1349861601730965
flow_mean,0.12400071935697787
flow_max,0.12360409370051373
tide_24h_cycle_count,0.11688423374283863
flow_var,0.11009654880404085
tide_24h_rise_rate,0.10790741156260253
hour_cos,0.10448509008790341
flow_range,0.09461167600391118
future_tide_r_squared,0.09372353551421397
flow_min,0.08704358871283069
tide_12h_cycle_count,0.07405466219086065
tide_type,0.062495511299844875
tide_12h_min,0.058673002509809224
tide_24h_min,0.050131160673382746
tide_12h_rise_rate,0.04981972853779815
water_status_mean,0.04319262238368926
tide_24h_r_squared,0.0416430309049558
water_status_max,0.0405888650407592
water_status_missing,0.039570236299560246
future_tide_range,0.039376746537474694
water_missing,0.038856676490617637
flow_missing,0.03798396566781714
rain_actual_新昌_max,0.03759984727085042
rain_actual_虞南山区_max,0.03706807897343645
rain_actual_嵊州_max,0.035931315497001126
future_tide_tide_type,0.0344893074136835
tide_12h_phase,0.03419805822736388
rain_actual_虞北平原_max,0.03391614839022539
flow_skew,0.033685287686163634
water_status_range,0.03364793216762485
prev_op_hour,0.03325083104920612
date,0.03291440645357313
tide_24h_phase,0.03140092060795008
water_rain_ratio,0.030744867100193418
future_tide_phase,0.029577424022668608
future_tide_max,0.028856801254692366
rain_actual_绍兴平原_max,0.024952519238254478
future_tide_slope,0.024312877352619
tide_12h_range,0.02265086373315872
tide_24h_range,0.02044973819244489
future_tide_mean,0.01937172372834417
tide_12h_tide_type,0.017912908987727794
tide_12h_fall_rate,0.016156947674241695
flow_rain_ratio,0.01591786763382963
future_tide_min,0.01498707240006969
tide_12h_r_squared,0.013820683922706856
tide_12h_max,0.013569833067422765
tide_24h_max,0.01345264286456005
hour_of_day,0.010065849509415248
rain_change_rate,0.006622576796406654
future_tide_cycle_count,0.006233241106839205
tide_24h_tide_type,0.006099860097808163
hour_sin,0.005217404648813151
is_rush_hour,0.004820529122024131
day_of_year,0.004045564540401059
month,0.003829067073566006
water_status_slope,0.0033928013329113105
future_tide_rise_rate,0.003247543807889719
future_tide_fall_rate,0.001970994242973312
tide_24h_mean,0.0017228730644077705
tide_12h_slope,0.0015030013235906026
is_weekend,0.0010729235620966504
rain_forecast_新昌_sum,0.0010110047780236275
tide_12h_mean,0.0008715259479745718
rain_missing,0.0005175469005344047
rain_forecast_虞南山区_max,0.0005004762323059797
hour_similar_to_large_gate,0.0004985048758577859
rain_forecast_新昌_mean,0.00035686842095650206
tide_24h_slope,0.0003146595294601928
day_of_week,0.00026833552842986386
rain_forecast_虞南山区_mean,9.024889843167738e-05
rain_forecast_avg,7.316327777440179e-05
rain_forecast_total,7.316327777440179e-05
rain_forecast_绍兴平原_max,3.1699667037088375e-05
rain_forecast_虞北平原_sum,3.127902662602988e-05
rain_forecast_新昌_max,3.1245573410387806e-05
rain_forecast_绍兴平原_sum,2.9450627129778972e-05
rain_forecast_虞南山区_sum,1.4225192347061544e-05
rain_forecast_虞北平原_mean,1.3254546556540348e-05
rain_forecast_嵊州_sum,2.1641302191399703e-06
rain_forecast_嵊州_max,1.3304947201753237e-06
rain_forecast_虞北平原_max,1.0401049571617804e-06
rain_forecast_嵊州_mean,8.255088259634391e-07
rain_forecast_绍兴平原_mean,1.509166314139776e-07
rain_similar_to_large_gate,0.0
large_gate_avg_duration,0.0
tide_similar_to_large_gate,0.0
future_water_missing,0.0
