feature,correlation
hour_of_day,0.9773225662249636
hour_sin,-0.9308476382256384
hour_cos,-0.5068484988942173
tide_12h_range,-0.4634746851367652
tide_12h_max,-0.45540695133436065
tide_12h_mean,-0.4300990405567299
water_status_range,-0.38931173196544
tide_24h_slope,-0.3878801591884585
tide_12h_slope,-0.3403668959336767
water_status_max,-0.3325227466456104
water_status_min,0.3177723982797239
rain_forecast_绍兴平原_max,0.3007773251919198
hour_similar_to_large_gate,-0.29633897523913927
prev_op_hour,-0.27441832873278577
tide_12h_rise_rate,-0.258540950938211
tide_12h_fall_rate,0.25670946601545713
future_tide_min,-0.2508915256599747
tide_24h_r_squared,0.23849213133864092
rain_forecast_虞南山区_max,0.23753061741082382
large_gate_priority,-0.23638363142315214
is_large_gate_pattern,-0.23638363142315214
flow_rain_ratio,-0.23366683428896468
future_tide_rise_rate,-0.2234515594871388
tide_12h_cycle_count,-0.21961671346786654
tide_12h_tide_type,0.21961671346786651
flow_range,-0.21562697118211857
rain_change_rate,0.21424624607305076
rain_forecast_嵊州_max,0.2118852555309426
water_rain_ratio,-0.20626499870832796
flow_skew,0.203905367551228
future_tide_fall_rate,0.20118063993692564
tide_12h_min,0.1989707205901126
rain_forecast_新昌_mean,-0.19815580643764633
day_of_year,0.19767306719180272
rain_actual_绍兴平原_sum,-0.18458180658256323
rain_actual_total,-0.18167119633916487
rain_actual_avg,-0.18167119633916481
rain_actual_嵊州_sum,-0.1807507483172958
rain_actual_新昌_sum,-0.18062606254388677
flow_max,-0.17900154508898908
rain_actual_新昌_mean,-0.17705961427580333
flow_mean,-0.17565589961129116
rain_forecast_新昌_max,0.17168199133106632
rain_actual_嵊州_mean,-0.17130263165454213
rain_actual_虞南山区_sum,-0.1653220695914244
tide_24h_mean,-0.16065989730269328
ops_week_avg_gates,0.15584130601653923
rain_actual_虞南山区_mean,-0.15520234993580298
rain_actual_虞北平原_sum,-0.1517897165020487
rain_actual_绍兴平原_mean,-0.15004138195610836
rain_forecast_虞北平原_max,0.14914756282562272
rain_actual_虞北平原_mean,-0.14302835217332008
day_of_week,0.14149116449781862
rain_actual_嵊州_max,-0.13998318637553867
future_tide_mean,-0.13853662863114288
ops_week_count,0.13749064152588275
tide_24h_max,-0.13588020676000553
rain_actual_虞南山区_max,-0.13579350632683507
month,0.13470991773869817
tide_24h_min,-0.1336994919583053
flow_var,-0.1296824818012307
water_status_mean,0.12068056942557356
rain_forecast_嵊州_mean,-0.1197031249578902
prev_duration,-0.11684141676516623
tide_24h_range,-0.11360449417160459
prev_gate_count,-0.10423293004138137
tide_12h_r_squared,-0.1009630486059839
future_tide_slope,0.09712918303857583
ops_week_total_duration,0.09328079088756366
rain_forecast_绍兴平原_mean,-0.09140322797798467
tide_24h_phase,0.09085155456799404
rain_forecast_虞南山区_mean,-0.09040606332820302
is_rush_hour,-0.08890833247707994
rain_actual_绍兴平原_max,0.0886027189801763
tide_12h_phase,0.0835686659725268
future_tide_range,0.08114251633498878
future_tide_r_squared,-0.07830071138743387
future_tide_tide_type,-0.07158017937767865
tide_24h_rise_rate,0.05750837217128652
rain_forecast_虞南山区_sum,0.05023109341719116
rain_forecast_嵊州_sum,0.04985199010575153
tide_type,0.04472323470222854
tide_24h_tide_type,0.04472323470222854
water_status_slope,0.0433914165722984
rain_actual_虞北平原_max,0.041348928839670174
rain_forecast_虞北平原_mean,-0.03971020257521844
future_tide_phase,-0.03906266124267034
rain_forecast_绍兴平原_sum,-0.035427211097828135
date,0.03241844607936497
rain_forecast_新昌_sum,-0.032222412142289984
future_tide_max,-0.031754200472179084
flow_min,0.025135370276791098
is_weekend,0.022656115500514228
future_tide_cycle_count,-0.016136814284310748
rain_actual_新昌_max,-0.010831245442276292
tide_24h_cycle_count,0.008872103764217038
rain_forecast_total,0.005591127267732366
rain_forecast_avg,0.005591127267732356
tide_24h_fall_rate,0.003821858709529395
rain_forecast_虞北平原_sum,0.0031543326464911784
water_missing,
flow_missing,
rain_missing,
water_status_missing,
large_gate_avg_duration,
tide_similar_to_large_gate,
rain_similar_to_large_gate,
future_water_missing,
