feature,coefficient
ops_week_avg_gates,0.033531268314859336
water_status_max,-0.02849144703474793
rain_actual_虞北平原_sum,0.010819449049635605
flow_min,-0.003341169035897244
rain_forecast_嵊州_sum,-0.0027607060990223866
rain_forecast_虞南山区_sum,0.002232715170343863
rain_forecast_新昌_sum,0.0022114962092403805
flow_mean,0.002174014951062257
flow_range,0.0019507726154207434
rain_actual_嵊州_sum,0.0012737914204675276
rain_actual_新昌_sum,0.0012603721622826865
rain_actual_虞南山区_sum,-0.0009815865259291394
day_of_year,-0.0009205167059486146
rain_forecast_绍兴平原_sum,-0.0008863058930698491
rain_actual_total,-0.0006089950186534686
rain_actual_绍兴平原_sum,-0.0005334377631954198
flow_var,-1.6924384631487717e-05
rain_forecast_total,6.247981159082547e-06
water_rain_ratio,-1.3774965511841164e-06
flow_rain_ratio,-4.391167463592781e-09
