feature,r2_score
large_gate_priority,0.4973926499226411
is_large_gate_pattern,0.4973926499226411
prev_gate_count,0.45449021465792283
prev_duration,0.4435023819405247
ops_week_total_duration,0.23643508425634463
ops_week_avg_gates,0.232778713708104
rain_actual_avg,0.2199412763799744
rain_actual_total,0.2199412763799744
rain_actual_嵊州_sum,0.21125601046716846
ops_week_count,0.210594543954993
rain_actual_虞南山区_sum,0.20321003288874173
rain_actual_虞北平原_sum,0.19824303893288608
rain_actual_嵊州_mean,0.1908281861215383
rain_actual_绍兴平原_sum,0.1857960259700664
rain_actual_新昌_sum,0.18448818673170664
rain_actual_虞南山区_mean,0.180052019355733
rain_actual_虞北平原_mean,0.16408027497766697
rain_actual_新昌_mean,0.16339137444863794
flow_max,0.15198331268746001
rain_actual_绍兴平原_mean,0.14946082815909778
flow_mean,0.14938130344654477
tide_24h_fall_rate,0.12557380872522195
flow_range,0.11868290319884411
flow_var,0.11669148690153297
water_status_min,0.11041767104214373
flow_min,0.10047232192927646
tide_24h_cycle_count,0.0983164689141538
hour_cos,0.09233216335384531
tide_24h_rise_rate,0.08689440345382093
future_tide_r_squared,0.07048616299751143
tide_12h_cycle_count,0.06746401904456667
rain_actual_虞南山区_max,0.05011170913838148
tide_12h_rise_rate,0.04965917269024822
tide_type,0.04964544840406049
rain_actual_新昌_max,0.04295911604553049
rain_actual_嵊州_max,0.03929297605759674
tide_12h_min,0.0389572744104143
rain_actual_虞北平原_max,0.035336045677136774
tide_24h_min,0.030829626661393772
future_tide_slope,0.030806363536359016
tide_24h_r_squared,0.026516452346844077
flow_skew,0.02642487105925795
future_tide_range,0.02605711579181691
rain_actual_绍兴平原_max,0.025874849192921157
water_rain_ratio,0.025710805344592358
tide_12h_phase,0.025530735689601403
prev_op_hour,0.02508713432200682
future_tide_phase,0.022505815700709864
tide_24h_phase,0.022122359901186717
water_status_mean,0.021337472708487848
future_tide_max,0.020912476231580435
water_status_max,0.02039782117476885
water_status_missing,0.019755585073961246
water_missing,0.019235309970138337
flow_missing,0.019092556957551965
future_tide_mean,0.0179038750645788
future_tide_tide_type,0.017509388993203423
water_status_range,0.015697400006534967
date,0.013908771913265228
flow_rain_ratio,0.012943295682747102
tide_12h_fall_rate,0.010190283751593476
rain_change_rate,0.008499137438324533
tide_12h_range,0.008428832046617929
tide_24h_range,0.007442627241779354
future_tide_min,0.006249421799782162
tide_12h_slope,0.006172879753035709
tide_12h_tide_type,0.0057473271839292295
hour_of_day,0.005538389983814396
hour_sin,0.004198535976338458
is_rush_hour,0.003700095992264285
tide_12h_r_squared,0.0035870930024257675
rain_missing,0.003532183060826588
tide_24h_max,0.003386350601930599
tide_12h_max,0.003100356453671127
rain_forecast_新昌_sum,0.002929590632870571
day_of_year,0.002313483034546149
is_weekend,0.0022546715382831817
month,0.001780529032692879
future_tide_cycle_count,0.001450082986721335
tide_12h_mean,0.0008130970340762822
future_tide_rise_rate,0.0007435213031240506
day_of_week,0.0006739253638041731
tide_24h_tide_type,0.0006482821102726799
future_tide_fall_rate,0.0005009137848192013
tide_24h_mean,0.0004235819847545619
rain_forecast_虞北平原_mean,0.0003500091536264849
rain_forecast_新昌_mean,0.0003217364713721249
rain_forecast_嵊州_max,0.0002945619792181775
rain_forecast_虞北平原_sum,0.00026045772010330204
rain_forecast_绍兴平原_sum,0.00020905580140850866
water_status_slope,0.00017298086913586364
rain_forecast_绍兴平原_mean,0.00017164360642962784
rain_forecast_total,0.00016922948045672292
rain_forecast_avg,0.00016922948045672292
hour_similar_to_large_gate,0.0001461661535675507
rain_forecast_嵊州_mean,6.991887707430422e-05
tide_24h_slope,5.360053488689953e-05
rain_forecast_嵊州_sum,3.760407838004909e-05
rain_forecast_虞北平原_max,2.0747192207903886e-05
rain_forecast_虞南山区_sum,1.2156737254187533e-05
rain_forecast_绍兴平原_max,1.1796720656098714e-05
rain_forecast_新昌_max,6.8866180289450796e-06
rain_forecast_虞南山区_mean,9.139077364883619e-07
rain_forecast_虞南山区_max,3.178509255796769e-08
tide_similar_to_large_gate,0.0
future_water_missing,0.0
large_gate_avg_duration,0.0
rain_similar_to_large_gate,0.0
